Timestamp,PID.,Please select the option that best applies to you or fill in the blank.,What is your age?,Were you born in the US?,What is your ethnicity? (Select all that apply),"What is the highest degree or level of school you have completed? If currently enrolled, highest degree received.",I prefer to do things with others rather than on my own.,I prefer to do things the same way over and over again.,"If I try to imagine something, I find it very easy to create a picture in my mind.",I frequently get so strongly absorbed in one thing that I lose sight of other things.,I often notice small sounds when others do not.,I usually notice car number plates or similar strings of information.,"Other people frequently tell me that what I’ve said is impolite, even though I think it is polite.","When I’m reading a story, I can easily imagine what the characters might look like.",I am fascinated by dates.,"In a social group, I can easily keep track of several different people’s conversations.",I find social situations easy.,I tend to notice details that others do not.,I would rather go to a library than to a party.,I find making up stories easy.,I find myself drawn more strongly to people than to things.,"I tend to have very strong interests, which I get upset about if I can’t pursue.",I enjoy social chitchat.,"When I talk, it isn’t always easy for others to get a word in edgewise.",I am fascinated by numbers.,"When I’m reading a story, I find it difficult to work out the characters’ intentions.",I don’t particularly enjoy reading fiction.,I find it hard to make new friends.,I notice patterns in things all the time.,I would rather go to the theater than to a museum.,It does not upset me if my daily routine is disturbed.,I frequently find that I don’t know how to keep a conversation going.,I find it easy to “read between the lines” when someone is talking to me.,"I usually concentrate more on the whole picture, rather than on the small details.",I am not very good at remembering phone numbers.,I don’t usually notice small changes in a situation or a person’s appearance.,I know how to tell if someone listening to me is getting bored.,I find it easy to do more than one thing at once.,"When I talk on the phone, I’m not sure when it’s my turn to speak.",I enjoy doing things spontaneously.,I am often the last to understand the point of a joke.,I find it easy to work out what someone is thinking or feeling just by looking at their face.,"If there is an interruption, I can switch back to what I was doing very quickly.",I am good at social chitchat.,People often tell me that I keep going on and on about the same thing.,"When I was young, I used to enjoy playing games involving pretending with other children.","I like to collect information about categories of things (e.g., types of cars, birds, trains, plants).",I find it difficult to imagine what it would be like to be someone else.,I like to carefully plan any activities I participate in.,I enjoy social occasions.,I find it difficult to work out people’s intentions.,New situations make me anxious.,I enjoy meeting new people.,I am a good diplomat.,I am not very good at remembering people’s date of birth.,I find it very easy to play games with children that involve pretending.,I know when to speak about my personal problems to others.,"When I am faced with obstacles, I remember times I faced similar obstacles and overcame them.",I expect that I will do well on most things I try.,Other people find it easy to confide in me.,I find it hard to understand the non-verbal messages of other people.,Some of the major events of my life have led me to re-evaluate what is important and not important.,"When my mood changes, I see new possibilities.",Emotions are one of the things that make my life worth living.,I am aware of my emotions as I experience them.,I expect good things to happen.,I like to share my emotions with others.,"When I experience a positive emotion, I know how to make it last.",I arrange events others enjoy.,I seek out activities that make me happy.,I am aware of the non-verbal messages I send to others.,I present myself in a way that makes a good impression on others.,"When I am in a positive mood, solving problems is easy for me.","By looking at their facial expressions, I recognize the emotions people are experiencing.",I know why my emotions change.,"When I am in a positive mood, I am able to come up with new ideas.",I have control over my emotions.,I easily recognize my emotions as I experience them.,I motivate myself by imagining a good outcome to tasks I take on.,I compliment others when they have done something well.,I am aware of the non-verbal messages other people send.,"When another person tells me about an important event in his or her life, I almost feel as though I experienced this event myself.","When I feel a change in emotions, I tend to come up with new ideas.","When I am faced with a challenge, I give up because I believe I will fail.",I know what other people are feeling just by looking at them.,I help other people feel better when they are down.,I use good moods to help myself keep trying in the face of obstacles.,I can tell how people are feeling by listening to the tone of their voice.,It is difficult for me to understand why people feel the way they do.
10/16/2024 15:09:50,BF059,Female,19,Yes,Asian,"High school graduate, diploma or the equivalent (for example: GED)",Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Disagree,Definitely Disagree,Slightly Disagree,Definitely Agree,Definitely Disagree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree
10/16/2024 16:44:18,BF061,Female,19,No,Asian,"High school graduate, diploma or the equivalent (for example: GED)",Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree
6/14/2024 10:27:24,BF013,Non-binary/non-conforming,19,Yes,Asian,"Associate degree (for example: AA, AS)",Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree
10/23/2024 15:58:07,BF073,Female,19,Yes,"Asian, White / Caucasian","Bachelor's degree (for example: BA, AB, BS)",Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Strongly Agree,Neither agree nor disagree,Somewhat Agree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree
10/23/2024 16:41:21,BF074,Female,19,Yes,"Asian, White / Caucasian","High school graduate, diploma or the equivalent (for example: GED)",Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree
10/30/2024 16:00:58,BF085,Female,19,Yes,"Asian, White / Caucasian","Some college credit, no degree",Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree
6/17/2024 11:34:56,3038901413,Female,19,Yes,"Asian, White / Caucasian, Hispanic/ Latinx","High school graduate, diploma or the equivalent (for example: GED)",Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree
10/4/2024 12:12:01,BF044,Female,19,Yes,Black / African American,"Some college credit, no degree",Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Definitely Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree
10/25/2024 12:03:26,BF077,Female,19,Yes,Hispanic/ Latinx,"Some college credit, no degree",Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Definitely Agree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree
11/8/2024 12:35:19,BF077,Female,19,Yes,Hispanic/ Latinx,"Some college credit, no degree",Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
10/2/2024 9:28:11,BF040,Female,19,Yes,White / Caucasian,"High school graduate, diploma or the equivalent (for example: GED)",Definitely Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Disagree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
11/13/2024 12:02:52,BF099,Female,19,Yes,White / Caucasian,"Associate degree (for example: AA, AS)",Slightly Agree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Disagree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree
10/29/2024 14:23:03,BF080,Male,19,Yes,White / Caucasian,"Some college credit, no degree",Definitely Agree,Slightly Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Disagree,Definitely Disagree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Disagree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Agree,Definitely Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
10/4/2024 11:26:25,BF044,Female,19,Yes,"White / Caucasian, Hispanic/ Latinx","Some college credit, no degree",Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Definitely Disagree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Disagree,Slightly Agree,Definitely Disagree,Definitely Agree,Definitely Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neither agree nor disagree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree
6/14/2024 13:26:34,BF015,Female,20,No,Asian,"High school graduate, diploma or the equivalent (for example: GED)",Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Disagree,Definitely Disagree,Definitely Agree,Slightly Agree,Slightly Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Disagree,Slightly Disagree,Definitely Agree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Definitely Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Disagree,Definitely Agree,Definitely Agree,Slightly Agree,Definitely Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Slightly Agree,Definitely Disagree,Slightly Disagree,Slightly Agree,Slightly Disagree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither agree nor disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neither agree nor disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neither agree nor disagree,Somewhat Disagree
